attendance,study_hours,assignments,quiz,lms_logins,engagement,missed_tasks,productivity,pass_probability,risk,expected_grade
61,1,0,57,7,34,0,40,41,High,At Risk
65,3,0,98,10,26,1,53,61,High,At Risk
49,6,4,63,1,51,0,62,65,Medium,C
75,6,3,53,12,86,3,63,58,Medium,C
68,3,2,100,6,59,4,50,52,High,At Risk
79,0,4,37,12,46,5,38,25,High,At Risk
53,2,5,35,2,50,1,49,44,High,At Risk
75,0,1,25,6,77,5,21,20,High,At Risk
78,3,2,29,3,56,5,31,20,High,At Risk
58,5,3,34,10,49,2,55,48,High,At Risk
90,6,5,100,10,45,3,80,84,Low,B+
47,4,1,44,4,38,0,44,43,High,At Risk
43,1,2,97,4,76,0,53,62,High,At Risk
69,5,2,76,4,84,4,52,49,High,At Risk
71,3,0,30,6,61,4,29,20,High,At Risk
56,0,0,54,10,93,4,28,21,High,At Risk
100,0,5,59,9,25,1,64,64,Medium,C
70,4,5,81,4,43,4,58,56,High,At Risk
67,5,3,36,7,64,3,52,43,High,At Risk
61,2,5,38,2,62,3,45,37,High,At Risk
84,3,2,76,12,90,0,72,77,Medium,B
69,0,2,57,5,34,3,33,28,High,At Risk
95,4,0,94,7,72,0,69,78,Medium,C
52,4,2,88,10,76,0,68,76,Medium,C
53,2,4,41,4,76,5,35,23,High,At Risk
71,0,0,55,11,40,2,35,32,High,At Risk
75,0,4,77,1,48,0,56,61,High,At Risk
69,0,5,44,7,57,4,43,34,High,At Risk
85,2,3,86,7,51,3,57,58,High,At Risk
75,1,3,49,9,85,5,41,31,High,At Risk
96,1,0,60,12,73,2,48,46,High,At Risk
99,6,4,59,0,56,5,53,45,High,At Risk
59,6,4,99,10,82,1,80,88,Low,B+
68,4,3,69,5,90,4,53,49,High,At Risk
64,3,2,49,11,50,4,42,34,High,At Risk
64,1,3,30,5,80,5,30,20,High,At Risk
98,6,3,74,10,39,3,68,67,Medium,C
42,1,4,100,5,32,3,46,50,High,At Risk
46,4,3,26,11,38,3,42,31,High,At Risk
95,5,1,34,7,53,2,54,47,High,At Risk
79,5,3,35,5,88,3,56,47,High,At Risk
60,5,5,87,8,24,4,62,61,Medium,C
44,1,5,61,3,31,3,40,36,High,At Risk
46,6,5,37,7,41,5,45,32,High,At Risk
59,0,0,66,12,27,2,33,32,High,At Risk
62,2,3,43,3,87,3,42,35,High,At Risk
76,5,1,46,2,30,4,36,27,High,At Risk
95,3,4,55,7,94,1,72,71,Medium,B
54,3,5,57,7,52,5,46,37,High,At Risk
40,6,3,61,10,89,1,64,64,Medium,C
44,3,2,100,4,74,5,39,39,High,At Risk
56,3,2,50,6,81,0,55,55,High,At Risk
55,3,4,70,9,57,5,47,41,High,At Risk
58,0,5,75,4,21,4,40,37,High,At Risk
95,5,5,31,9,83,2,74,66,Medium,B
89,6,1,70,3,44,4,47,43,High,At Risk
56,5,5,42,10,32,5,51,39,High,At Risk
81,0,2,81,0,94,2,46,48,High,At Risk
86,1,0,62,5,73,1,45,45,High,At Risk
52,1,4,71,8,84,2,55,55,High,At Risk
93,1,2,86,12,57,5,47,44,High,At Risk
95,2,0,84,1,38,1,47,52,High,At Risk
95,5,5,75,12,91,2,85,86,Low,B+
45,6,3,26,4,88,0,56,51,High,At Risk
69,2,5,58,9,68,5,51,43,High,At Risk
100,2,0,54,7,23,4,35,28,High,At Risk
96,4,2,53,10,28,5,47,38,High,At Risk
92,3,5,63,10,72,0,82,85,Low,B+
48,0,0,63,7,34,0,35,38,High,At Risk
55,4,1,74,7,67,5,38,33,High,At Risk
100,5,5,94,6,95,5,74,73,Medium,B
86,1,3,37,7,98,3,49,40,High,At Risk
100,2,0,72,3,76,3,44,42,High,At Risk
100,1,2,37,10,67,4,44,33,High,At Risk
97,5,2,32,6,55,1,61,55,Medium,C
47,6,3,36,10,47,5,41,28,High,At Risk
80,4,0,31,12,62,1,50,44,High,At Risk
48,6,4,51,1,90,1,59,57,High,At Risk
77,1,1,67,12,38,4,37,32,High,At Risk
40,2,1,41,8,52,1,37,33,High,At Risk
47,5,0,41,0,65,1,37,33,High,At Risk
77,2,0,47,4,26,1,37,34,High,At Risk
87,3,4,39,11,28,3,55,47,High,At Risk
68,6,2,90,9,33,3,58,60,High,At Risk
72,1,4,30,11,86,2,54,46,High,At Risk
69,5,0,32,7,71,3,41,31,High,At Risk
83,0,3,81,1,30,2,45,47,High,At Risk
78,1,0,41,4,99,5,25,20,High,At Risk
77,4,5,66,6,96,4,64,59,Medium,C
58,3,4,80,1,34,5,40,36,High,At Risk
81,6,4,52,6,77,1,71,69,Medium,B
66,2,3,76,6,32,2,51,52,High,At Risk
67,2,5,57,5,39,5,43,34,High,At Risk
99,3,0,36,1,31,3,33,24,High,At Risk
46,5,5,72,12,36,4,58,54,High,At Risk
43,4,4,96,5,35,3,54,57,High,At Risk
62,6,5,79,11,26,2,71,73,Medium,B
78,2,2,38,9,84,1,54,50,High,At Risk
49,5,3,53,1,64,4,41,34,High,At Risk
63,0,2,98,3,74,4,38,40,High,At Risk
89,6,4,96,0,97,5,62,61,Medium,C
93,5,2,28,2,54,5,39,25,High,At Risk
88,2,2,69,0,43,1,50,52,High,At Risk
76,5,3,33,2,23,0,57,54,High,At Risk
87,4,1,73,6,78,2,58,59,High,At Risk
50,2,2,66,12,92,4,43,38,High,At Risk
45,0,1,45,12,99,0,44,43,High,At Risk
83,0,2,81,10,74,3,50,50,High,At Risk
78,3,3,59,3,85,0,64,66,Medium,C
62,3,0,61,10,95,3,44,40,High,At Risk
73,5,2,30,3,70,4,41,29,High,At Risk
43,0,1,63,3,37,2,26,25,High,At Risk
58,2,0,25,7,75,1,36,29,High,At Risk
48,3,4,54,8,91,5,45,36,High,At Risk
91,2,0,75,11,25,3,44,43,High,At Risk
41,3,0,65,9,74,4,33,28,High,At Risk
65,5,5,78,4,34,3,62,62,Medium,C
41,2,1,83,11,66,0,53,60,High,At Risk
67,6,0,56,6,95,3,46,41,High,At Risk
73,0,3,64,11,63,1,55,56,High,At Risk
61,6,1,34,8,34,4,36,25,High,At Risk
72,1,2,69,11,38,1,53,55,High,At Risk
46,1,2,50,2,97,1,40,38,High,At Risk
88,6,5,34,2,100,3,64,55,Medium,C
69,6,4,99,7,92,5,64,64,Medium,C
80,4,2,65,2,76,0,63,66,Medium,C
70,3,5,63,12,55,4,59,54,High,At Risk
43,2,4,34,4,79,3,39,30,High,At Risk
42,0,2,61,1,31,4,19,20,High,At Risk
78,4,3,84,9,90,5,58,55,High,At Risk
97,0,3,98,10,44,2,62,68,Medium,C
78,3,4,44,0,77,0,61,60,Medium,C
91,6,2,35,8,42,0,65,62,Medium,C
55,5,3,81,8,86,4,58,56,High,At Risk
50,2,2,61,6,72,2,44,42,High,At Risk
83,4,0,67,1,62,0,53,56,High,At Risk
75,5,3,61,4,97,1,68,68,Medium,C
61,0,4,43,5,59,5,31,20,High,At Risk
84,5,3,41,9,30,2,60,54,Medium,C
75,3,5,67,2,87,0,72,75,Medium,B
81,5,3,90,5,22,2,64,68,Medium,C
59,1,1,68,12,82,1,50,52,High,At Risk
54,1,1,34,4,32,4,18,20,High,At Risk
89,4,5,92,0,63,4,63,63,Medium,C
48,4,3,44,2,43,5,31,20,High,At Risk
89,4,1,81,0,72,2,54,56,High,At Risk
83,5,1,81,9,56,5,51,47,High,At Risk
90,3,1,93,3,59,3,51,54,High,At Risk
97,6,1,72,10,93,3,65,63,Medium,C
69,6,2,73,8,87,3,60,59,Medium,C
50,6,1,42,4,26,5,26,20,High,At Risk
70,6,2,95,1,86,0,69,78,Medium,C
58,0,1,59,7,85,1,42,42,High,At Risk
93,3,0,53,7,64,0,56,57,High,At Risk
66,0,3,89,5,50,3,44,46,High,At Risk
45,2,1,28,5,32,5,15,20,High,At Risk
81,2,1,42,0,56,3,32,24,High,At Risk
84,6,1,85,7,98,0,74,81,Medium,B
97,0,0,57,3,39,4,27,20,High,At Risk
100,5,4,92,6,34,2,76,80,Medium,B
55,2,0,31,3,73,5,16,20,High,At Risk
90,4,3,33,1,83,4,46,35,High,At Risk
74,0,5,90,9,50,5,50,48,High,At Risk
49,2,3,25,9,65,1,47,40,High,At Risk
76,3,1,35,8,66,0,54,51,High,At Risk
73,4,4,89,8,22,3,62,64,Medium,C
95,3,0,74,5,52,5,38,33,High,At Risk
41,2,0,69,3,100,0,43,47,High,At Risk
89,4,5,67,2,25,2,64,63,Medium,C
74,2,5,47,12,79,5,52,41,High,At Risk
70,5,1,42,1,78,0,54,52,High,At Risk
58,1,0,50,0,60,2,26,22,High,At Risk
72,3,4,85,4,24,5,46,43,High,At Risk
52,2,2,31,10,62,2,41,33,High,At Risk
47,6,2,80,6,76,3,52,52,High,At Risk
61,1,3,88,5,86,2,53,57,High,At Risk
91,0,5,79,1,75,4,51,49,High,At Risk
92,1,4,62,5,33,0,63,65,Medium,C
60,5,2,64,7,97,5,48,41,High,At Risk
67,1,5,81,5,77,0,69,75,Medium,C
86,6,2,80,4,27,0,67,73,Medium,C
82,5,3,71,8,40,0,74,78,Medium,B
49,6,4,81,0,36,0,63,69,Medium,C
55,6,5,71,5,69,4,59,55,High,At Risk
42,4,1,82,5,67,3,43,43,High,At Risk
88,0,4,42,8,66,3,49,41,High,At Risk
60,5,2,56,1,23,5,32,23,High,At Risk
51,3,4,74,8,35,2,56,57,High,At Risk
89,2,5,82,3,98,2,69,71,Medium,C
84,3,1,40,2,29,3,35,27,High,At Risk
51,5,3,36,12,60,5,43,30,High,At Risk
62,5,0,95,8,57,2,55,60,High,At Risk
94,1,5,47,12,66,4,56,47,High,At Risk
54,0,1,42,3,83,0,37,35,High,At Risk
63,4,4,72,7,90,1,70,72,Medium,B
79,0,0,64,6,81,4,31,26,High,At Risk
66,6,3,98,1,36,2,60,66,Medium,C
81,0,3,84,10,86,2,60,63,Medium,C
48,6,4,100,2,36,3,57,61,High,At Risk
72,6,0,40,8,39,2,45,39,High,At Risk
50,1,2,53,5,86,2,40,37,High,At Risk
94,0,2,50,10,90,2,52,48,High,At Risk
48,5,2,93,1,84,5,43,42,High,At Risk
50,4,4,44,2,99,5,41,30,High,At Risk
97,4,2,97,0,23,0,66,75,Medium,C
42,5,4,58,10,46,4,52,46,High,At Risk
66,4,5,28,7,100,4,55,43,High,At Risk
58,5,2,86,3,71,2,57,60,High,At Risk
69,0,5,32,2,76,3,41,31,High,At Risk
70,3,1,68,9,38,2,49,49,High,At Risk
95,5,2,69,6,36,2,62,62,Medium,C
72,4,0,65,3,79,0,54,57,High,At Risk
57,3,1,43,1,26,2,31,26,High,At Risk
100,3,4,78,3,40,2,65,67,Medium,C
99,4,5,65,3,40,3,65,62,Medium,C
72,3,3,64,7,22,0,61,64,Medium,C
100,3,4,83,3,47,4,58,57,High,At Risk
62,0,0,61,7,96,5,24,20,High,At Risk
83,3,2,93,0,33,3,48,51,High,At Risk
48,2,5,71,12,71,2,61,61,Medium,C
42,3,0,97,8,44,2,43,48,High,At Risk
75,2,0,74,8,77,4,39,36,High,At Risk
57,6,4,40,2,32,3,46,38,High,At Risk
63,6,2,96,5,38,1,63,70,Medium,C
78,4,3,89,0,25,0,64,72,Medium,C
48,5,2,85,8,78,1,64,69,Medium,C
78,4,1,66,9,60,1,60,61,Medium,C
65,4,5,63,9,63,4,60,55,Medium,C
93,4,4,87,11,92,2,80,83,Low,B+
70,6,0,72,5,34,3,43,41,High,At Risk
77,2,5,28,9,80,2,60,52,Medium,C
81,6,4,98,3,26,4,60,62,Medium,C
70,1,4,73,2,51,0,58,63,High,At Risk
76,5,0,49,0,76,2,43,39,High,At Risk
66,1,3,51,6,84,4,40,32,High,At Risk
98,3,5,32,11,37,4,58,46,High,At Risk
53,4,2,86,8,68,2,57,60,High,At Risk
51,3,4,68,8,65,5,46,40,High,At Risk
89,6,5,58,9,81,1,82,82,Low,B+
55,2,4,63,3,58,2,49,48,High,At Risk
85,1,5,87,5,81,2,67,70,Medium,C
75,6,5,60,4,35,4,57,51,High,At Risk
83,4,3,75,5,38,2,61,62,Medium,C
42,2,5,35,5,76,5,36,23,High,At Risk
56,5,3,52,3,88,2,55,51,High,At Risk
99,4,5,59,2,33,4,58,52,High,At Risk
87,4,1,56,0,87,1,54,53,High,At Risk
80,1,0,37,6,62,5,23,20,High,At Risk
70,0,5,42,0,90,1,51,47,High,At Risk
66,5,3,86,10,45,2,67,70,Medium,C
60,2,5,32,12,31,5,40,26,High,At Risk
76,1,4,29,2,73,1,49,43,High,At Risk
99,0,3,88,2,57,0,62,70,Medium,C
40,2,4,38,5,56,3,38,30,High,At Risk
81,4,4,88,2,84,3,64,66,Medium,C
57,1,0,67,2,78,5,20,20,High,At Risk
56,5,1,26,11,63,2,46,37,High,At Risk
76,5,1,47,9,71,3,52,45,High,At Risk
72,2,0,76,10,32,1,48,51,High,At Risk
48,3,2,56,0,53,3,34,29,High,At Risk
55,3,2,67,4,94,5,38,31,High,At Risk
76,0,2,71,11,50,0,56,60,High,At Risk
82,0,3,64,2,71,5,34,27,High,At Risk
72,5,2,40,10,57,2,57,51,High,At Risk
79,1,1,42,7,39,3,34,26,High,At Risk
87,4,2,78,11,90,3,64,64,Medium,C
88,4,5,52,12,51,5,60,50,Medium,C
88,4,0,92,7,87,5,48,46,High,At Risk
63,0,4,39,0,90,4,33,23,High,At Risk
52,4,4,44,2,61,4,42,33,High,At Risk
68,0,5,51,11,94,3,55,49,High,At Risk
45,4,3,32,7,36,4,36,24,High,At Risk
66,3,4,32,8,79,5,44,30,High,At Risk
91,2,5,27,6,52,0,65,60,Medium,C
87,1,4,34,0,74,2,47,40,High,At Risk
84,0,4,32,1,80,0,52,48,High,At Risk
58,3,1,42,12,73,2,45,39,High,At Risk
97,3,3,73,6,30,5,49,44,High,At Risk
82,6,4,42,10,64,0,76,74,Medium,B
51,4,3,92,2,48,0,62,70,Medium,C
88,0,2,84,10,89,3,54,55,High,At Risk
74,3,1,56,7,64,1,52,51,High,At Risk
57,1,5,39,0,73,4,36,26,High,At Risk
89,0,1,51,1,32,4,25,20,High,At Risk
42,3,4,31,3,25,3,35,25,High,At Risk
68,1,4,52,12,27,1,55,53,High,At Risk
72,2,1,98,5,93,4,46,48,High,At Risk
89,5,2,55,4,38,5,44,35,High,At Risk
73,1,3,63,4,27,4,37,32,High,At Risk
100,4,5,47,10,74,4,68,59,Medium,C
71,0,2,73,12,87,2,51,52,High,At Risk
84,3,3,44,4,68,1,58,55,High,At Risk
88,4,3,55,3,58,5,46,37,High,At Risk
49,6,3,32,8,72,3,49,39,High,At Risk
75,4,1,74,3,52,1,54,57,High,At Risk
61,5,0,82,5,31,4,39,37,High,At Risk
86,6,1,31,4,68,5,38,24,High,At Risk
78,4,0,34,3,95,5,31,20,High,At Risk
82,4,1,86,3,62,2,55,58,High,At Risk
98,0,1,49,11,35,5,32,22,High,At Risk
88,3,1,51,6,50,4,40,32,High,At Risk
60,6,2,73,7,88,5,48,43,High,At Risk
62,2,2,71,8,83,3,48,46,High,At Risk
46,6,5,85,12,60,1,76,81,Medium,B
63,2,3,30,9,48,5,34,20,High,At Risk
49,0,2,95,9,94,5,38,37,High,At Risk
66,2,1,50,5,49,3,34,28,High,At Risk
76,6,1,88,8,63,2,62,66,Medium,C
88,6,3,87,7,41,5,58,55,High,At Risk
90,2,1,42,11,89,3,48,40,High,At Risk
51,4,5,32,8,24,0,62,58,Medium,C
100,6,5,31,12,20,3,66,56,Medium,C
48,6,5,54,1,39,0,63,64,Medium,C
53,4,3,72,0,99,5,42,36,High,At Risk
82,4,3,87,0,20,4,48,47,High,At Risk
75,3,0,27,8,55,4,31,20,High,At Risk
58,0,4,80,12,42,0,61,67,Medium,C
98,0,4,44,3,44,4,41,32,High,At Risk
73,2,2,59,12,70,0,61,63,Medium,C
63,3,3,97,3,48,2,56,61,High,At Risk
83,6,0,29,1,71,3,38,28,High,At Risk
64,4,3,32,10,21,5,38,24,High,At Risk
50,0,3,80,10,62,4,41,39,High,At Risk
94,0,4,30,3,47,5,33,20,High,At Risk
96,4,3,59,0,29,5,43,35,High,At Risk
99,2,4,97,10,24,1,75,82,Medium,B
99,6,2,27,3,95,1,62,55,Medium,C
88,6,5,75,1,58,1,75,78,Medium,B
76,1,4,74,10,89,2,64,65,Medium,C
64,6,5,42,12,30,4,56,46,High,At Risk
87,2,0,37,6,49,0,46,43,High,At Risk
61,4,4,75,12,61,0,74,79,Medium,B
80,2,3,87,3,65,4,49,48,High,At Risk
100,3,3,48,10,94,5,55,45,High,At Risk
64,0,4,62,12,51,5,40,32,High,At Risk
44,0,2,44,6,39,5,18,20,High,At Risk
64,2,2,38,1,20,2,33,27,High,At Risk
68,2,2,38,2,31,1,40,36,High,At Risk
67,3,4,96,8,72,0,76,85,Medium,B
41,0,2,95,1,96,4,32,33,High,At Risk
90,2,3,26,4,72,3,45,34,High,At Risk
89,0,5,96,3,93,4,58,59,High,At Risk
50,5,3,46,2,54,2,48,43,High,At Risk
57,3,1,33,2,75,2,35,28,High,At Risk
66,2,3,34,5,52,1,48,43,High,At Risk
86,5,3,50,7,33,1,65,63,Medium,C
59,0,3,67,9,68,2,48,47,High,At Risk
68,2,3,42,4,61,4,38,28,High,At Risk
100,5,1,86,5,42,3,58,59,High,At Risk
60,2,5,87,9,51,2,64,67,Medium,C
64,2,3,71,1,92,1,54,56,High,At Risk
77,4,1,95,0,79,5,42,41,High,At Risk
53,3,2,33,12,72,5,34,21,High,At Risk
71,1,5,63,3,52,5,42,35,High,At Risk
49,5,3,73,1,77,4,47,44,High,At Risk
70,4,3,93,8,73,4,59,60,High,At Risk
42,6,2,93,9,30,0,64,73,Medium,C
89,1,5,70,2,98,0,71,75,Medium,B
76,5,5,76,12,62,3,73,72,Medium,B
46,0,0,58,3,85,5,15,20,High,At Risk
73,4,4,98,3,77,2,69,75,Medium,C
65,3,5,100,11,84,1,80,88,Low,B+
62,0,3,38,4,73,0,46,44,High,At Risk
47,6,5,43,5,59,2,58,53,High,At Risk
69,6,1,91,7,64,3,56,58,High,At Risk
46,3,5,82,5,28,2,57,59,High,At Risk
42,6,5,39,0,63,5,40,28,High,At Risk
46,5,1,56,8,42,4,38,31,High,At Risk
50,2,4,79,7,49,3,50,50,High,At Risk
80,1,1,80,6,23,5,31,27,High,At Risk
79,1,3,100,6,69,0,68,78,Medium,C
85,1,1,60,12,28,4,37,31,High,At Risk
46,6,4,48,5,61,1,59,57,High,At Risk
69,0,2,87,8,60,4,41,40,High,At Risk
64,4,3,100,1,64,2,59,65,High,At Risk
94,3,4,47,10,58,4,58,49,High,At Risk
77,0,5,42,5,35,1,52,48,High,At Risk
59,0,1,72,11,38,4,31,27,High,At Risk
64,3,4,42,9,69,3,53,45,High,At Risk
51,3,5,93,11,42,4,59,60,High,At Risk
50,3,2,42,2,60,3,34,26,High,At Risk
79,0,2,26,7,37,1,40,33,High,At Risk
92,3,4,89,10,83,3,72,74,Medium,B
83,3,3,81,7,41,0,69,75,Medium,C
76,0,1,62,0,55,1,37,37,High,At Risk
74,2,1,83,9,83,4,46,45,High,At Risk
72,0,4,39,4,89,2,47,41,High,At Risk
74,6,0,81,8,47,3,50,50,High,At Risk
46,5,5,56,4,24,3,52,47,High,At Risk
56,2,0,81,1,50,1,38,42,High,At Risk
91,5,4,69,11,98,5,67,61,Medium,C
67,1,4,42,12,46,1,55,51,High,At Risk
91,0,4,69,8,55,4,50,46,High,At Risk
74,1,2,62,4,93,2,47,45,High,At Risk
100,6,4,37,2,72,0,73,70,Medium,B
57,6,5,41,11,36,1,67,63,Medium,C
49,5,2,56,12,70,3,51,46,High,At Risk
49,4,5,59,10,73,3,61,57,Medium,C
68,0,5,36,6,85,5,39,26,High,At Risk
57,5,2,83,7,61,4,51,50,High,At Risk
40,6,5,36,11,78,5,50,37,High,At Risk
82,5,2,33,12,88,3,57,48,High,At Risk
53,3,1,88,4,61,2,46,50,High,At Risk
61,4,4,41,9,82,2,61,55,Medium,C
97,5,0,30,1,100,3,44,34,High,At Risk
41,0,1,81,7,20,3,27,27,High,At Risk
52,5,1,63,2,55,0,52,55,High,At Risk
81,2,2,35,5,41,0,50,47,High,At Risk
65,5,2,54,6,31,5,39,30,High,At Risk
46,0,1,86,1,36,4,21,20,High,At Risk
54,4,5,81,0,21,5,44,40,High,At Risk
61,6,0,79,11,36,3,48,48,High,At Risk
44,1,3,36,11,33,0,46,43,High,At Risk
60,2,2,42,6,37,5,27,20,High,At Risk
83,1,0,92,9,21,4,37,37,High,At Risk
81,1,3,69,11,47,5,44,38,High,At Risk
87,1,3,81,3,31,0,59,65,High,At Risk
48,6,0,100,11,69,2,56,62,High,At Risk
67,2,1,56,4,30,1,41,40,High,At Risk
75,4,4,61,12,23,5,51,43,High,At Risk
96,2,1,91,9,85,1,66,72,Medium,C
